TimeGenerated	EventID	Source	Type	Category	Message
Sat Apr  5 23:19:41 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 23:19:41 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 23:19:40 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 19:35:58 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 19:35:51 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 19:35:46 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 19:35:46 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 19:35:46 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 19:35:46 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 19:27:08 2025	18	BTHUSB	4	0	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Sat Apr  5 19:12:15 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 19:12:07 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 19:12:07 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 19:12:07 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 19:12:07 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 19:12:06 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 19:12:04 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 19:12:04 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 19:12:04 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 19:12:04 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 18:51:09 2025	1014	Microsoft-Windows-DNS-Client	2	1014	Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8428.
Sat Apr  5 18:29:08 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 18:26:21 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 18:25:37 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 18:25:29 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 18:25:29 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 18:25:29 2025	18	BTHUSB	4	0	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Sat Apr  5 18:25:28 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 18:25:28 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 18:25:28 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 18:13:47 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 18:13:41 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 18:13:35 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 18:13:35 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 18:13:35 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 18:13:35 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 18:13:30 2025	7000	Service Control Manager	1	0	The Windows Camera Frame Server Monitor service failed to start due to the following error: 
%%1053
Sat Apr  5 18:13:30 2025	7009	Service Control Manager	1	0	A timeout was reached (30000 milliseconds) while waiting for the Windows Camera Frame Server Monitor service to connect.
Sat Apr  5 17:43:37 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 17:43:29 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 17:43:28 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 17:43:28 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 17:43:28 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 17:43:28 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 16:22:43 2025	1796	Microsoft-Windows-TPM-WMI	1	0	The Secure Boot update failed to update a Secure Boot variable with error -2147020471. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931
Sat Apr  5 16:07:33 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 16:07:33 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 16:07:31 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 16:07:31 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 16:07:24 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 16:06:59 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 16:06:59 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:53:19 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sat Apr  5 14:52:57 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 14:51:03 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Sat Apr  5 14:51:02 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:51:02 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 14:51:01 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 14:51:01 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 14:51:01 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 14:51:01 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 14:28:31 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 14:28:24 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:28:24 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 14:28:24 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:28:24 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 14:28:24 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 14:27:44 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:39 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:39 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:39 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:39 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:39 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 14:27:37 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 14:27:37 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:27:37 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 14:27:37 2025	1	Microsoft-Windows-Kernel-General	4	5	Possible detection of CVE: 2025-04-05T08:57:37.3274548Z
Additional Information: 2025-04-05T08:57:37.3270518Z

This Event is generated when an attempt to exploit a known vulnerability (2025-04-05T08:57:37.3274548Z) is detected.
This Event is raised by a User mode process.

Sat Apr  5 14:27:37 2025	24	Microsoft-Windows-Kernel-General	4	11	
Sat Apr  5 14:27:37 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:27:36 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 14:27:36 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 14:27:36 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 14:27:36 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 13:57:21 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 13:40:59 2025	37	Microsoft-Windows-Time-Service	4	0	The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123).
Sat Apr  5 13:31:33 2025	4199	Tcpip	1	0	The system detected an address conflict for IP address 2409:40c2:101c:9494:ffcb:92ec:811c:afbd with the system
having network hardware address 02-50-F3-00-08-04. Network operations on this system may
be disrupted as a result.
Sat Apr  5 13:26:51 2025	105	Microsoft-Windows-Kernel-Power	4	100	
Sat Apr  5 13:25:59 2025	134	Microsoft-Windows-Time-Service	2	0	NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)
Sat Apr  5 13:25:25 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 13:25:25 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 13:25:25 2025	18	BTHUSB	4	0	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Sat Apr  5 13:25:24 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 13:25:24 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 13:25:24 2025	701	Win32k	2	0	Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Sat Apr  5 12:25:58 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 12:25:52 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 12:25:47 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 12:25:47 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 12:25:47 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 12:25:47 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 12:21:12 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 12:21:04 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 12:21:03 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 12:21:03 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 12:21:03 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 12:21:03 2025	700	Win32k	2	0	Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Sat Apr  5 12:04:38 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 12:00:00 2025	6013	EventLog	4	0	The system uptime is 7955 seconds.
Sat Apr  5 11:36:40 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 11:36:40 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 11:36:12 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sat Apr  5 11:35:32 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 11:35:32 2025	507	Microsoft-Windows-Kernel-Power	4	158	
Sat Apr  5 11:35:30 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 11:34:35 2025	172	Microsoft-Windows-Kernel-Power	4	203	
Sat Apr  5 11:34:27 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 11:34:09 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 11:34:08 2025	506	Microsoft-Windows-Kernel-Power	4	157	
Sat Apr  5 11:34:08 2025	566	Microsoft-Windows-Kernel-Power	4	268	
Sat Apr  5 11:34:06 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 11:32:44 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 11:26:52 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Sat Apr  5 11:02:44 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 10:58:26 2025	158	Microsoft-Windows-Time-Service	4	0	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Sat Apr  5 10:52:28 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sat Apr  5 10:50:51 2025	15	Microsoft-Windows-Kernel-General	4	10	
Sat Apr  5 10:50:41 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 10:48:40 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 10:48:05 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 10:48:05 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 10:48:05 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Sat Apr  5 10:48:04 2025	5	Microsoft-Windows-IsolatedUserMode	4	0	Secure Trustlet NULL Id 0 and Pid 0 started with status 0.
Sat Apr  5 10:48:04 2025	2	Microsoft-Windows-IsolatedUserMode	4	0	Secure Trustlet Id 0 and Pid 0 stopped with status 0.
Sat Apr  5 10:47:44 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 10:46:24 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Sat Apr  5 10:41:22 2025	158	Microsoft-Windows-Time-Service	4	0	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Sat Apr  5 10:24:18 2025	158	Microsoft-Windows-Time-Service	4	0	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Sat Apr  5 10:13:19 2025	7040	Service Control Manager	4	0	The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Sat Apr  5 10:07:14 2025	158	Microsoft-Windows-Time-Service	4	0	The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Sat Apr  5 09:58:33 2025	19	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.75.0) - Current Channel (Broad)
Sat Apr  5 09:58:24 2025	43	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.75.0) - Current Channel (Broad)
Sat Apr  5 09:58:17 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:36 2025	19	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Successful: Windows successfully installed the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Sat Apr  5 09:51:36 2025	16	Microsoft-Windows-Kernel-General	4	0	
Sat Apr  5 09:51:36 2025	43	Microsoft-Windows-WindowsUpdateClient	4	1	Installation Started: Windows has started installing the following update: 9WZDNCRFJBH4-Microsoft.Windows.Photos
Sat Apr  5 09:51:34 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:34 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:34 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:34 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:19 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:19 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:19 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:19 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:14 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:14 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:51:14 2025	44	Microsoft-Windows-WindowsUpdateClient	4	1	Windows Update started downloading an update.
Sat Apr  5 09:50:53 2025	10010	DCOM	1	0	<The description for Event ID ( 10010 ) in Source ( 'DCOM' ) could not be found. It contains the following insertion string(s):'{021E4F06-9DCC-49AD-88CF-ECC2DA314C8A}'.>
Sat Apr  5 09:50:18 2025	10016	DCOM	2	0	<The description for Event ID ( 10016 ) in Source ( 'DCOM' ) could not be found. It contains the following insertion string(s):'application-specific, Local, Activation, {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}, {15C20B67-12E7-4BB6-92BB-7AFF07997402}, ZXEcoder, suraj, S-1-5-21-613975250-2061740886-1952526809-1001, LocalHost (Using LRPC), MicrosoftWindows.Client.WebExperience_525.5100.40.0_x64__cw5n1h2txyewy, Unavailable'.>
Sat Apr  5 09:50:13 2025	17	TPM	4	0	The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
